Country,City,Culture,Event,Preferred Color,Preferred Style,Outfit
Japan,Tokyo,Traditional Japanese,Casual Party,Pastel,Traditional,Traditional Prints kimono with sash
USA,Miami,Western,Casual Party,Pink,Traditional,Striped turtleneck sweater with a pleated skirt and loafers
England,Bristol,Western,Office Meeting,Navy,Modern,Checkered sleeveless blouse with cardigan
USA,New York,Latino,Wedding,Orange,Modern,Lace one-shoulder gown with bold ruffles
India,Delhi,Traditional (North Indian),Casual Party,Vibrant,Modern,Block Print Anarkali
India,Mumbai,Western,Wedding,White,Traditional,Lace conservative high-neck sheath dress with a pearl collar
Malaysia,Kuantan,Malay,Casual Party,Multicolor,Modern,Batik long skirt with blouse
Malaysia,Ipoh,Malay,Wedding,Maroon,Modern,Beaded sequin dress
Malaysia,Kuantan,Malay,Wedding,Maroon,Traditional,Beaded batik sarong with kebaya
USA,Chicago,Latino,Office Meeting,Cream,Traditional,Subtle Embroidery embroidered tunic with leggings
USA,Houston,Black,Casual Party,Vibrant,Modern,Dashiki sleeveless blouse with subtle tribal motifs
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Gold,Modern,Beaded lace dress
Malaysia,Ipoh,Chinese,Casual Party,Bright,Traditional,Floral mandarin collar top with jeans
Japan,Tokyo,Traditional Japanese,Wedding,White,Modern,Floral asymmetrical dress
USA,Houston,Black,Office Meeting,Brown,Traditional,Subtle Ankara Print Kaftan with embroidery
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Bright,Modern,Geometric jeans with tunic
USA,New York,Western,Wedding,Pastel,Modern,Embroidered modern lace trumpet gown with deep illusion back
England,London,African/Caribbean,Wedding,Bright,Traditional,Beaded Zulu traditional attire
USA,Miami,Latino,Wedding,Gold,Modern,Ruffles maxi dress with a high slit and lace accents
Malaysia,Kuantan,Malay,Casual Party,Pastel,Modern,Batik shirt dress
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Bright,Traditional,Floral handloom dress
Japan,Osaka,Traditional Japanese,Casual Party,Bright,Traditional,Geometric kimono with sash
England,Manchester,Western,Office Meeting,Beige,Modern,Solid business suit
Japan,Tokyo,Traditional Japanese,Wedding,Silver,Modern,Floral lace dress with obi belt
USA,Chicago,Western,Office Meeting,Beige,Modern,Solid tailored trousers with blazer
Malaysia,Ipoh,Indian,Wedding,Red,Traditional,Sequined Banarasi silk saree
Japan,Tokyo,Western,Office Meeting,Gray,Traditional,Solid blouse with long skirt
Japan,Osaka,Traditional Japanese,Casual Party,Bright,Modern,Geometric summer dress
Malaysia,Kuching,Indian,Casual Party,Pastel,Traditional,Block Print batik print kurti with palazzos
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Gold,Traditional,Beaded embroidered abaya
Sri Lanka,Colombo,Traditional (Sinhala),Wedding,Maroon,Modern,Beaded Anarkali gown
India,Mumbai,Traditional (North Indian),Casual Party,Vibrant,Traditional,Block Print block print suit
England,Manchester,African/Caribbean,Wedding,Purple,Modern,Kente colorful gown with cultural patterns
Sri Lanka,Colombo,Western,Casual Party,Yellow,Traditional,Abstract sweater dress with tights and ankle boots
Japan,Tokyo,Western,Office Meeting,Black,Modern,Solid pencil skirt with blouse
England,Bristol,South Asian,Casual Party,Vibrant,Modern,Printed cold shoulder kurti
Malaysia,Kuantan,Malay,Casual Party,Bright,Modern,Batik printed dress with hijab
Japan,Kyoto,Traditional Japanese,Office Meeting,Pastel,Traditional,Solid kimono with obi sash
Malaysia,Ipoh,Malay,Wedding,Gold,Modern,Lace sequin dress
Sri Lanka,Colombo,Traditional (Sinhala),Wedding,Gold,Traditional,Beaded veil with saree
USA,Houston,Western,Wedding,Ivory,Modern,Beaded halter-neck satin gown
Japan,Tokyo,Traditional Japanese,Wedding,Red,Traditional,Embroidered gold embroidered kimono
Sri Lanka,Galle,Traditional (Sinhala),Wedding,White,Modern,Lace fusion wear dress
England,London,Western,Casual Party,Green,Traditional,Polka dot floral A-line dress with a cardigan and ballet flats
USA,New York,Western,Casual Party,Green,Modern,Abstract romper with lace details and strappy heels
Sri Lanka,Colombo,Western,Casual Party,Yellow,Modern,Striped shorts with a flowy blouse and espadrilles
England,London,African/Caribbean,Wedding,Turquoise,Modern,Ankara halter-neck dress with beadwork
USA,Miami,Western,Office Meeting,Beige,Traditional,Checkered conservative dress
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Red,Traditional,Beaded saree with paisley design
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Silver,Traditional,Sequined embroidered abaya
Japan,Tokyo,Western,Casual Party,Red,Modern,Abstract denim skirt with a graphic tee and sneakers
India,Bangalore,Traditional (South Indian),Casual Party,Bright,Traditional,Batik saree with tassel border
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Bright,Traditional,Floral hijab with maxi dress
Japan,Tokyo,Traditional Japanese,Wedding,Silver,Traditional,Traditional Motifs shiromuku (white wedding kimono)
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Gold,Traditional,Embroidered veil with saree
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Pastel,Modern,Minimal Embroidery blazer with pencil skirt and subtle embroidery
Malaysia,Kuching,Malay,Office Meeting,Beige,Modern,Solid modern kebaya
Malaysia,Kuching,Indian,Casual Party,Vibrant,Traditional,Block Print mirror work top with skirt
USA,Chicago,Western,Casual Party,Pink,Traditional,Floral midi skirt with a sweater and kitten heels
England,Bristol,South Asian,Wedding,Pink,Modern,Embroidered designer saree
Japan,Kyoto,Traditional Japanese,Casual Party,Bright,Modern,Traditional Prints off-shoulder top with skirt
USA,New York,Western,Office Meeting,Black,Traditional,Pinstripe sweater dress
England,London,African/Caribbean,Wedding,Turquoise,Traditional,Ankara beaded Maasai gown
USA,Houston,Black,Casual Party,Bright,Traditional,Geometric dashiki dress
USA,Houston,Western,Casual Party,Red,Modern,Floral maxi skirt with a fitted tank top and flats
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Maroon,Modern,Zari designer saree
England,Bristol,South Asian,Office Meeting,Pastel,Traditional,Solid handloom saree
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Maroon,Traditional,Beaded golden saree
USA,New York,Latino,Casual Party,Vibrant,Modern,Frills jumpsuit with ruffles
Malaysia,Kuching,Indian,Casual Party,Bright,Traditional,Floral block print suit
Malaysia,Ipoh,Malay,Casual Party,Bright,Modern,Batik tunic with leggings
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Pastel,Modern,Floral wide-leg trousers with tunic
Japan,Tokyo,Western,Wedding,Ivory,Modern,Lace silk crepe slip dress with cowl neckline
Japan,Osaka,Traditional Japanese,Office Meeting,Earth Tones,Traditional,Solid tsukesage kimono
USA,New York,Latino,Wedding,Orange,Traditional,Embroidered mantilla veil paired with an embroidered gown
Malaysia,Ipoh,Indian,Casual Party,Bright,Modern,Block Print kaftan style kurti
USA,Chicago,Black,Wedding,Kente Colors,Traditional,Beaded beaded Maasai dress
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,White,Traditional,Embroidered saree with silver work
England,Bristol,South Asian,Casual Party,Bright,Modern,Printed long skirt with crop top
USA,Houston,Black,Casual Party,Bright,Traditional,Geometric mudcloth tunic dress
USA,Chicago,Western,Office Meeting,Beige,Traditional,Solid midi skirt with jacket
USA,Houston,Western,Office Meeting,Navy,Traditional,Solid sweater dress
England,Manchester,Western,Wedding,Ivory,Modern,Embroidered silver beaded sheath gown
England,London,Western,Casual Party,Yellow,Modern,Polka dot sundress with floral prints and sandals
USA,Chicago,Western,Casual Party,Pink,Modern,Floral denim skirt with a graphic tee and sneakers
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Gold,Modern,Embroidered ball gown
USA,Miami,Latino,Casual Party,Bright,Traditional,Floral tiered skirt with embroidered top
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Bright,Traditional,Geometric jalabiya with minimal embroidery
USA,New York,Western,Wedding,White,Modern,Embroidered halter-neck satin gown
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Bright,Modern,Printed palazzo pants with tunic
England,Bristol,South Asian,Wedding,Red,Modern,Sequined saree gown
USA,Chicago,Western,Wedding,Pastel,Traditional,Lace vintage-inspired fit-and-flare dress with lace overlay
Sri Lanka,Colombo,Western,Casual Party,Pink,Traditional,Abstract sweater dress with tights and ankle boots
England,Manchester,African/Caribbean,Office Meeting,Brown,Traditional,Solid kanga skirt with blouse
USA,Miami,Latino,Office Meeting,Brown,Modern,Subtle Embroidery business suit
Japan,Tokyo,Western,Casual Party,Blue,Traditional,Striped midi skirt with a sweater and kitten heels
Malaysia,Kuantan,Malay,Wedding,Maroon,Modern,Embroidered ball gown with sleeves
USA,Miami,Latino,Office Meeting,White,Traditional,Subtle Embroidery frilled dress
India,Mumbai,Western,Wedding,White,Modern,Beaded ivory lace evening gown
India,Mumbai,Traditional (North Indian),Wedding,Pink,Traditional,Beaded Sharara suit
India,Mumbai,Western,Office Meeting,Navy,Modern,Solid tailored trousers with blazer
USA,New York,Latino,Office Meeting,White,Modern,Solid shift dress with belt
Malaysia,Kuching,Indian,Wedding,Maroon,Modern,Embroidered designer lehenga
Japan,Tokyo,Western,Wedding,Ivory,Modern,Lace embroidered illusion gown with lace details
England,Manchester,African/Caribbean,Wedding,Gold,Modern,Kente evening dress with headwrap
Malaysia,Kuching,Malay,Casual Party,Bright,Traditional,Batik batik dress
India,Chennai,Traditional (South Indian),Casual Party,Pastel,Modern,Floral off-shoulder top with skirt
USA,Houston,Western,Wedding,White,Modern,Embroidered gold strapless gown with crystal embellishments
Dubai,Dubai,Traditional (Middle Eastern),Office Meeting,Black,Modern,Solid long sleeve blouse with trousers
USA,Chicago,Western,Office Meeting,Gray,Traditional,Checkered midi skirt with jacket
Malaysia,Kuantan,Malay,Office Meeting,Pastel,Modern,Solid formal dress with hijab
India,Chennai,Traditional (South Indian),Casual Party,Bright,Traditional,Batik block print suit
Malaysia,Kuantan,Malay,Casual Party,Pastel,Traditional,Floral kebarung
Malaysia,Kuantan,Malay,Casual Party,Bright,Traditional,Floral batik dress
England,London,African/Caribbean,Wedding,Gold,Traditional,Kente African lace dress
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Maroon,Traditional,Beaded saree with pearl work
Dubai,Sharjah,Traditional (Middle Eastern),Office Meeting,Gray,Traditional,Solid traditional jalabiya
India,Chennai,Traditional (South Indian),Wedding,Maroon,Modern,Embroidered mermaid saree
India,Mumbai,Western,Wedding,White,Traditional,Embroidered tea-length silk dress with a jacket
Malaysia,Kuching,Chinese,Wedding,Silver,Modern,Embroidered off-shoulder gown
USA,New York,Western,Office Meeting,Black,Traditional,Solid button-up shirt with slacks
India,Mumbai,Western,Wedding,Ivory,Traditional,Embroidered sleeveless pleated dress with a belted waist
Japan,Tokyo,Western,Casual Party,Pink,Traditional,Abstract blouse with a long skirt and low heels
Sri Lanka,Jaffna,Traditional (Tamil),Casual Party,Vibrant,Modern,Block Print front-slit kurti with jeans
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Silver,Traditional,Sequined bejewelled jalabiya
England,Bristol,South Asian,Casual Party,Bright,Modern,Floral palazzo pants with tunic
Malaysia,Ipoh,Chinese,Casual Party,Multicolor,Modern,Floral crop top with high-waisted pants
USA,Chicago,Western,Casual Party,Pink,Traditional,Floral conservative shift dress with a belt and pumps
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Earth Tones,Traditional,Printed kimono-style abaya
Malaysia,Kuantan,Malay,Wedding,Silver,Modern,Beaded embroidered gown
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Pastel,Traditional,Floral sarong with blouse
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Silver,Traditional,Sequined thobe with intricate designs
Japan,Osaka,Traditional Japanese,Wedding,White,Traditional,Floral red uchikake
USA,Miami,Western,Wedding,Pastel,Modern,Beaded embroidered illusion gown with lace details
India,Mumbai,Traditional (North Indian),Casual Party,Vibrant,Traditional,Floral mirror work top with skirt
England,London,African/Caribbean,Wedding,Gold,Modern,Beaded one-shoulder gown with ruffles
England,London,African/Caribbean,Office Meeting,Gray,Modern,Subtle Prints midi dress with belt
England,Manchester,African/Caribbean,Casual Party,Yellow,Traditional,Geometric mudcloth dress
England,London,Western,Office Meeting,Navy,Modern,Checkered culottes with shirt
England,London,Western,Casual Party,Pink,Modern,Floral romper with lace details and strappy heels
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Cream,Modern,Lace saree gown
Japan,Kyoto,Traditional Japanese,Casual Party,Pastel,Modern,Traditional Prints maxi dress
Malaysia,Kuching,Chinese,Casual Party,Bright,Traditional,Printed silk blouse with skirt
England,London,African/Caribbean,Wedding,Turquoise,Modern,Ankara evening dress with headwrap
England,London,African/Caribbean,Casual Party,Yellow,Modern,Floral maxi dress with prints
Malaysia,Kuching,Indian,Wedding,Maroon,Traditional,Zari heavy embroidered saree
Dubai,Dubai,Traditional (Middle Eastern),Office Meeting,Black,Traditional,Solid embroidered abaya
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Pastel,Traditional,Batik ethnic skirt with top
Malaysia,Kuching,Malay,Office Meeting,Beige,Modern,Solid peplum top with batik skirt
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Pastel,Modern,Minimal Embroidery A-line midi skirt with formal blouse and modern cuts
USA,Chicago,Western,Casual Party,Yellow,Modern,Floral jumpsuit with bold patterns and ankle boots
Japan,Tokyo,Western,Wedding,White,Traditional,Embroidered classic wrap dress with a subtle floral pattern
England,London,African/Caribbean,Office Meeting,Navy,Modern,Solid button-down shirt with statement necklace
England,Manchester,Western,Casual Party,Pink,Modern,Floral denim skirt with a graphic tee and sneakers
Malaysia,Kuching,Chinese,Casual Party,Bright,Traditional,Geometric casual cheongsam
Japan,Kyoto,Traditional Japanese,Casual Party,Bright,Traditional,Geometric traditional print dress
England,Bristol,Western,Casual Party,Pink,Traditional,Striped midi skirt with a sweater and kitten heels
USA,New York,Western,Office Meeting,Navy,Modern,Checkered wrap dress
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Emerald,Modern,Embroidered gown with cape
USA,Chicago,Western,Casual Party,Yellow,Traditional,Abstract turtleneck sweater with a pleated skirt and loafers
England,Manchester,African/Caribbean,Wedding,Gold,Traditional,Beaded gele with embroidered dress
Japan,Osaka,Traditional Japanese,Wedding,White,Traditional,Traditional Motifs shiromuku (white wedding kimono)
Japan,Tokyo,Traditional Japanese,Office Meeting,Earth Tones,Modern,Solid shift dress with obi belt
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Printed thobe with belt
Malaysia,Ipoh,Malay,Office Meeting,Pastel,Traditional,Solid kebaya with sarong
Malaysia,Kuantan,Malay,Wedding,Silver,Modern,Embroidered peplum dress
Malaysia,Ipoh,Chinese,Casual Party,Bright,Modern,Printed maxi dress with Chinese motifs
USA,Chicago,Black,Casual Party,Multicolor,Traditional,Geometric batik print dress
England,London,African/Caribbean,Wedding,Bright,Modern,Kente halter-neck dress with beadwork
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Emerald,Modern,Embroidered off-shoulder dress with sleeves
Malaysia,Kuantan,Malay,Wedding,Maroon,Traditional,Embroidered batik sarong with kebaya
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Pastel,Modern,Printed printed romper
Sri Lanka,Colombo,Western,Office Meeting,Navy,Modern,Solid pencil skirt with blouse
Malaysia,Ipoh,Indian,Wedding,Red,Traditional,Zari Sharara suit
USA,New York,Western,Casual Party,Blue,Traditional,Floral turtleneck sweater with a pleated skirt and loafers
USA,Miami,Latino,Wedding,Red,Traditional,Ruffles red silk dress with intricate embroidery
Japan,Tokyo,Western,Casual Party,Green,Modern,Polka dot romper with lace details and strappy heels
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Emerald,Modern,Sequined ball gown with sleeves
India,Mumbai,Western,Casual Party,Green,Modern,Floral jumpsuit with bold patterns and ankle boots
Malaysia,Kuching,Chinese,Casual Party,Pastel,Traditional,Floral embroidered tunic
USA,Miami,Latino,Wedding,Gold,Modern,Lace floral applique gown with a fitted bodice
Sri Lanka,Colombo,Traditional (Sinhala),Wedding,Gold,Traditional,Lace veil with saree
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Beaded gown with veil and hijab
England,Bristol,South Asian,Wedding,Red,Traditional,Embroidered bridal saree
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Beige,Traditional,Solid saree with traditional Kandyan draping and floral lace accents
Malaysia,Ipoh,Indian,Wedding,Red,Modern,Embroidered cape style saree
England,Bristol,Western,Casual Party,Blue,Traditional,Polka dot midi skirt with a sweater and kitten heels
Japan,Kyoto,Traditional Japanese,Wedding,White,Modern,Embroidered kimono-style gown
USA,Miami,Latino,Wedding,Orange,Traditional,Embroidered off-shoulder lace dress with detailed embroidery
Malaysia,Kuching,Chinese,Wedding,Red,Traditional,Beaded phoenix embroidered dress
England,Bristol,Western,Casual Party,Yellow,Traditional,Striped floral A-line dress with a cardigan and ballet flats
Japan,Kyoto,Traditional Japanese,Casual Party,Bright,Modern,Traditional Prints maxi dress
USA,New York,Western,Wedding,Silver,Modern,Lace silk crepe slip dress with cowl neckline
England,Manchester,Western,Casual Party,Green,Modern,Abstract maxi skirt with a fitted tank top and flats
England,Bristol,Western,Casual Party,Blue,Traditional,Polka dot button-up shirt with tailored trousers and loafers
USA,New York,Latino,Office Meeting,Brown,Traditional,Solid off-shoulder dress
India,Mumbai,Traditional (North Indian),Wedding,Red,Traditional,Beaded Gota patti work lehenga
Malaysia,Kuching,Malay,Office Meeting,Beige,Traditional,Solid batik print baju kurung
England,Bristol,Western,Wedding,Ivory,Traditional,Beaded sleeveless pleated dress with a belted waist
England,Bristol,Western,Office Meeting,Navy,Traditional,Pinstripe cardigan over dress
Japan,Kyoto,Traditional Japanese,Wedding,Red,Modern,Traditional Motifs off-shoulder dress
Malaysia,Ipoh,Malay,Office Meeting,Beige,Traditional,Minimal Embroidery kebaya with sarong
India,Chennai,Traditional (South Indian),Casual Party,Pastel,Modern,Floral kaftan style kurti
India,Delhi,Traditional (North Indian),Wedding,Maroon,Modern,Beaded fusion wear dress
Malaysia,Kuantan,Malay,Wedding,Silver,Traditional,Embroidered traditional attire with tengkolok
England,Manchester,Western,Casual Party,Yellow,Modern,Polka dot sundress with floral prints and sandals
India,Delhi,Traditional (North Indian),Wedding,Red,Traditional,Sequined bridal lehenga
Malaysia,Kuching,Indian,Wedding,Maroon,Modern,Sequined designer lehenga
Malaysia,Kuantan,Malay,Office Meeting,Pastel,Modern,Minimal Embroidery formal dress with hijab
Sri Lanka,Jaffna,Traditional (Tamil),Office Meeting,Beige,Modern,Solid midi dress
Malaysia,Kuantan,Malay,Office Meeting,Beige,Modern,Solid blazer over baju kurung
India,Chennai,Traditional (South Indian),Wedding,Maroon,Traditional,Zari traditional red saree
Malaysia,Kuching,Indian,Wedding,Red,Modern,Zari fusion wear dress
Sri Lanka,Colombo,Western,Office Meeting,Beige,Traditional,Checkered sweater dress
England,Manchester,Western,Wedding,Ivory,Modern,Lace one-shoulder chiffon dress
England,London,African/Caribbean,Casual Party,Yellow,Modern,Geometric jumpsuit with patterns
Japan,Tokyo,Western,Wedding,White,Traditional,Embroidered floral A-line dress with a matching shawl
USA,Chicago,Western,Office Meeting,Black,Traditional,Pinstripe blouse with long skirt
USA,New York,Latino,Wedding,Red,Traditional,Embroidered mantilla veil paired with an embroidered gown
England,Manchester,Western,Wedding,Pastel,Traditional,Embroidered long-sleeve chiffon dress with an empire waist
USA,Houston,Western,Casual Party,Green,Modern,Floral maxi skirt with a fitted tank top and flats
India,Mumbai,Traditional (North Indian),Office Meeting,Pastel,Traditional,Minimal Embroidery saree
Japan,Tokyo,Western,Casual Party,Green,Modern,Abstract leggings with an oversized tunic and ballet flats
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Earth Tones,Traditional,Floral modest dress with hijab
USA,New York,Western,Office Meeting,Gray,Traditional,Checkered dress with pantyhose
India,Mumbai,Western,Casual Party,Yellow,Modern,Abstract maxi skirt with a fitted tank top and flats
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Earth Tones,Modern,Floral maxi dress
USA,Miami,Western,Office Meeting,Navy,Traditional,Checkered cardigan over dress
USA,Chicago,Western,Office Meeting,Beige,Modern,Checkered blazer dress
Malaysia,Ipoh,Chinese,Wedding,Silver,Traditional,Beaded kwa (traditional wedding dress)
England,Manchester,African/Caribbean,Wedding,Purple,Traditional,Ankara Caribbean madras dress
England,Manchester,African/Caribbean,Office Meeting,Navy,Traditional,Solid batik print suit
Malaysia,Kuching,Chinese,Casual Party,Multicolor,Modern,Geometric jumpsuit with mandarin collar
USA,Chicago,Latino,Casual Party,Vibrant,Traditional,Frills traditional poncho over outfit
India,Mumbai,Western,Wedding,White,Traditional,Beaded tea-length silk dress with a jacket
USA,Chicago,Black,Office Meeting,Earth Tones,Traditional,Subtle Ankara Print Ankara peplum top with skirt
India,Chennai,Traditional (South Indian),Wedding,Gold,Modern,Embroidered jacket style saree
Malaysia,Ipoh,Chinese,Wedding,Silver,Traditional,Traditional Motifs silk brocade dress
Japan,Tokyo,Western,Casual Party,Blue,Traditional,Abstract blouse with a long skirt and low heels
USA,New York,Western,Office Meeting,Black,Traditional,Pinstripe knee-length skirt with blouse
USA,Houston,Western,Wedding,Pastel,Traditional,Lace pleated midi skirt with a blouse and matching bolero
USA,Chicago,Western,Office Meeting,Black,Modern,Solid pencil skirt with blouse
USA,Houston,Western,Wedding,Pastel,Traditional,Lace long-sleeve chiffon dress with an empire waist
Japan,Tokyo,Western,Casual Party,Red,Modern,Striped denim skirt with a graphic tee and sneakers
USA,Chicago,Black,Casual Party,Multicolor,Modern,Geometric maxi skirt with tribal pattern overlay
India,Mumbai,Traditional (North Indian),Wedding,Maroon,Modern,Zari Anarkali gown
Sri Lanka,Kandy,Traditional (Sinhala),Casual Party,Pastel,Traditional,Floral kurti with leggings
India,Delhi,Traditional (North Indian),Casual Party,Bright,Modern,Printed high-low hem dress
India,Chennai,Traditional (South Indian),Office Meeting,Pastel,Modern,Minimal Embroidery simple saree
Sri Lanka,Jaffna,Traditional (Tamil),Office Meeting,Beige,Modern,Minimal Embroidery shift dress with scarf
India,Mumbai,Traditional (North Indian),Casual Party,Bright,Modern,Block Print printed jumpsuit
India,Bangalore,Traditional (South Indian),Wedding,Green,Modern,Zari crop top with skirt
USA,Chicago,Western,Casual Party,Yellow,Modern,Floral maxi skirt with a fitted tank top and flats
Japan,Tokyo,Traditional Japanese,Office Meeting,Muted,Modern,Solid shift dress with obi belt
USA,Miami,Latino,Office Meeting,White,Traditional,Subtle Embroidery embroidered blouse with skirt
England,Manchester,Western,Wedding,Pastel,Modern,Embroidered embroidered illusion gown with lace details
India,Chennai,Traditional (South Indian),Wedding,Maroon,Modern,Beaded saree gown
Japan,Kyoto,Traditional Japanese,Office Meeting,Pastel,Modern,Subtle Patterns simple kimono
Sri Lanka,Colombo,Western,Wedding,White,Traditional,Embroidered floral A-line dress with a matching shawl
USA,New York,Latino,Casual Party,Bright,Modern,Frills embroidered tunic with leggings
Sri Lanka,Colombo,Western,Casual Party,Red,Traditional,Striped floral A-line dress with a cardigan and ballet flats
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Emerald,Modern,Sequined sequin dress
Dubai,Al Ain,Traditional (Middle Eastern),Office Meeting,Black,Traditional,Solid embroidered abaya
India,Bangalore,Traditional (South Indian),Office Meeting,Cream,Traditional,Minimal Embroidery handloom saree
England,Bristol,South Asian,Wedding,Red,Traditional,Sequined Zardosi work lehenga
India,Chennai,Traditional (South Indian),Wedding,Red,Modern,Beaded crop top with skirt
USA,Miami,Latino,Office Meeting,Beige,Modern,Solid sleeveless blouse with cardigan
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Maroon,Modern,Embroidered off-shoulder dress
USA,New York,Latino,Office Meeting,Beige,Modern,Solid tailored pants with peplum top
Malaysia,Ipoh,Indian,Office Meeting,Pastel,Modern,Minimal Embroidery salwar kameez
England,Manchester,Western,Wedding,Ivory,Modern,Embroidered halter-neck satin gown
England,Manchester,African/Caribbean,Wedding,Purple,Traditional,Beaded Kente ball gown
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Silver,Traditional,Sequined thobe with intricate designs
Dubai,Sharjah,Traditional (Middle Eastern),Office Meeting,Black,Modern,Solid maxi skirt with blouse
England,Manchester,African/Caribbean,Wedding,Bright,Traditional,Kente beaded Maasai gown
